취업률	employment ratio
음식물	food, edible material
제작	production, manufacturing
졸음	sleep
부상	injury
거래처	vendor, customer
계곡	valley
고개	nod
곤충	insect
국내외	domestic and foreign
글쓴이	writer
기호	sign, symbol
단풍	autumn leaves
대비	preparation
도자기	handcrafted tableware, "fine-china"
마무리	finish
물체	object
의사송통	communication
아름다움	beauty
야외	outdoor(s)
양보	give up, give away
흐름	flow
책임감	responsibility (feeling of)
택배	parcel, package
예측	estimate (a result)
외모	look, appearance
우편	mail, post
의식	thought
정성	devotion, "love and devotion"
존경	respect
