정월 대보름	the day of the first full moon of the lunar year
단오	the fifth day of the fifth month of the year
설빔	new years dress
복주머니	a lucky bag
오곡밥	five-grain rice
달맞이	viewing the moon
쥐불놀이	traditional play to light fires to exterminate rats
씨름	korean wrestling
그네타기	swing
벌초	cut the weeds (around a grave)
성묘	visit a family member's grave (to pay respect)
강강술래	traditional korean circle dance
명절을 쇠다	observer (celebrate) a holiday
차례를 지내다	hold a memorial service for ancestors
차례상을 준비하다	prepare the memorial ceremony table
세배를 드리다	give new years greetings
매진되다	be sold out
꿈도 꾸지 말다	do not even think about it
민속놀이	a folk game (play)
농사를 짓다	to farm
부럼	nuts (eaten at 정월 대보름)
호두	walnut
잣	pine nut
밤	chestnut
땅콩	peanut
까다	peel, hull, crack
부스럼	abscess, boil
귀가 밝다	have good hearing
피하다	avoide, escape
연날리기	flying a kite
다리밟기	step on the bridge
곡식	crops, grain
설맞이	greet the new year / New Year's Eve
민속	folklore
