상품성	marketability
운행 시간	business hours
대출금	loan money
면역력	immunity
호전되다	to improve, pick up, come right
상승 폭	width or breadth of the rise and increase
대폭 오르다	to rise up sharply
경상 수지	current account, current balance
적자	deficit or loss
흑자	surplus
보호무역	protective trade
자유무역	free trade
경기 부양책	steps to stimulate the economy, reflation measure
차질이 생기다	for a problem or issue to arise
노후되다	to become worn out, time worn, decrepit
연체료	late fees, arrears charge
작동시키다	to activate, actuate, fire something up
개미 투자자	a personal investor
관세가 붙다	to add duty or tariffs
억제하다	to surpress, control, deter
검역	quarantine, inspection
무역 분쟁	trade war
취약 산업	weak or vulnerable industries
단종되다	to be discontinued
걱정이 이만저만이 아니다	for your worries to be great, innumerable
타격을 입다	to take a hit, take on damage
노사 간 협상	labor management negotations
타결되다	for a settlement or agreement to be reached
실적이 저조하다	for one's performance or results to be low
브랜드 인지도	brand recognition
표준화	standardization
