여건	conditions (주어진 조건)
여백	space/margin on a page (공란/공백/빈자리)
여유가 있다	to be composed
역량	capability (실력/능력/손)
역전(시키다)	turning of the tables
연간	yearly (매년)
연금	pension
연민(에 빠지다/을 느끼다)	sympathy (불쌍하고 가련하게 여김. 동정심/동정/유감)
열의	enthusiasm (열정)
염려	worry (걱정/근심)
예언(하다)	prediction/prophecy (예고/참언/계시)
예의범절	etiquette (예절/범절/버릇)
예측(하다)	forecast (예상/짐작)
오류(를 범하다)	error
오산	misjudgment (잘못 셈함. 또는 그 셈)
옹호(하다)	protection (변호/수호/보호)
외면	look away (마주치기를 꺼리어 피하거나 얼굴을 돌림)
외환위기	foreign exchange crisis
요령	know-how (요리/요체/솜씨)
요행	luck/good-fortune (다행/행운)
우호	friendship (우정)
운송	transportation (운반)
울타리	a fence
원리	principle (원칙/논리/법칙/본체)
원본(을 복사하다)	an original (document)
원칙	principle (원리/법칙/규칙/법)
위계질서	order of rank
위생(관리)	hygiene
위안	comfort/solace (위로)
위용	dignity (위엄/품격/품위)
