,0,1
0,꾼만 같다,to seem like a dream
1,믿기지 않다,to be unbelievable
2,숨이 멎는 줄 알았다,to take one's breath away
3,심장이 터질 것 같다,to feel like one's heart will burst
4,실감이 안 나다,to not realize
5,얼떨떨하다,to be dazed; puzzled
6,인기가 있다,to have popularity
7,좋은 반응을 얻다,to receive a good response
8,주목을 받다,to receive attention
9,작품에 출연하다,to appear in a production
10,역할을 맡다,to assume a role
11,급히,urgently; hastily
12,당연히,naturally; of course
13,솔직히,honestly; frankly
14,우연히,accidentally; by chance
15,은근히,quietly; inwardly
16,흔히,commonly; ordinarly
17,방송,broadcasting
18,분위기가 달아오르다,to have the atmosphere become hot
19,환호성을 지르다,to cheer; yell out a cheer
20,시사회,preview
21,실제로,actually; in reality
22,기립박수,standing ovation
23,팬 미팅,fan meeting
24,진지하다,to be serious; earnest
25,열띠다,to be lively; enthusiastic
26,벌이다,to be open; spread out
27,안개가 끼다,to be foggy
28,발생하다,to break out; happen
29,비결,secret; know-how
30,솔직하다,to be honest; frank
31,적극적이다,to be active; aggressive
32,애교가 많다,to do a lot of cute-talk
33,입대하다,to enlist in the army
34,시나리오,scenario
35,막내딸,youngest daughter
36,귀하다,to be precious
37,번역,translation; rendering
38,장사,business; trade
39,야간 대학교,night school
40,어쩔 수 없다,to can't be helped
41,놓치다,to lose; miss
42,애를 쓰다,to make efforts
43,절대로,absolutely; never
44,험하다,to be rugged; perilous
45,눈치를 채다,to get a sense of; become aware
46,오해,misunderstanding
47,화해하다,to reconcile
48,질투심,jealousy; envy
49,모습,reflection
50,떠오르다,to rise; emerge
51,밝혀내다,to unearth
52,실감하다,to feel; realize
53,연광하다,to go wild
54,야단을 맞다,to be scolded
55,아무래도,somehow
56,악역,villian
57,어르신,father; elder
58,데뷔하다,to debut
59,동기,motive
60,그리,so; that
61,추천하다,to recommend
62,역,station
63,차지하다,to win over; take possesion
64,면,face; side
65,멜로드라마,melodrama
66,주인공,hero
67,대표 곡,musical masterpiece
68,소감,impression
69,절정,peak; climax
70,출연작,cast; actor/actress
71,연예 활동,part of the entertainment business
72,예는 프로그램,artistic program
73,일상,everyday life
74,노부부,old couple
75,대,level; line
76,사소하다,to be trivial; minor
77,갈등,conflict; discord
78,상금,prize; money
79,효도,filial duty
80,승부를 펼치다,victory
81,출연자,cast; contestants
82,원작,atom
83,깨닫다,to realize; grasp
84,혜택,benefit
85,가창력,singing ability
86,경쾌하다,to be light; cheerful
87,리듬,rythmn
0,문화,culture
1,특징,special characteristic
2,대표적이다,to be representative; delegate
3,공통점이 있다,to have something in common
