가치관	Value
갈등	Conflict
계기	Motive
고래	Whale
고비	Crucial Moment
골치가 아프다	To be troubled with a problem
나무라다	To blame, scold
낭비	Waste
다리 역할	Mediator
사실은	In fact
상당히	Considerably
새우	Shrimp
승낙하다	To consent
알뜰하다	To be thrifty
입맛이 없다	To have no appetite
책장	Bookcase
터지다	To burst
화해시키다	To reconcile
흡연실	Smoking room
막	Just (time)
직전	Right before
고부 갈등	Fight between mother and daughter in law
장인어른	Father in law (wife's side)
장서 갈등	Fight between father and son in law
고래 싸움에 새우 들 터진다	An innocent bystander gets hurt in a fight
