가정 교육	home education
개선하다	to improve
객관식	objective questions
거치다	to go through
경쟁	competition
경제 성장	economic growth
고민하다	to worry
공교육	public education
공립	public
공정하다	to be fair
과제	task
교육 과정	Education curriculum
교육열	Enthusiasm for education
국립	national
국토	national territory
극기 훈련	boot camp
근간	basis
기말고사	final examination
길들여지다	to become habituated
내신 성적	Academic reports
논술 시험	Essay test
단답형	short answer question
대안 교육	Alternative education
도임	to indtroduce
독립하다	to become independent
모의고사	practice examination
무시험제	system with no examination
바람직하다	to be desirable
분위기	Atmoshphere
비중	relative importance
비판	criticism
사교육	private education
사립	private
사지선다형	multiple choice question
서술형	Descriptive answer question
소풍	picnic
수학 능력 시험	CSAT
수학여행	Field trip
역할	role
엿	Korean hard taffy
요령	knack of doing something
운영 주체	Operating principal
위주	Putting something first
유형	type
의무 교육	Compulsory education
인적 자원	human resources
자연 자원	Natural resources
전환되다	to be converted
정부	government
제정하다	to establish
조화를 이루다	to archive harmony
주관식	Subjetive questions
중간고사	midterm examination
중시하다	to value much of something
지옥	hell
진정하다	to be true
찍다	to prick
찹쌀떡	Sticky rice cake
창의적	creative
채점	marketing
추억	memory
축제	festival
치열하다	to be intense
태교	Prenatal education
평생 교육	Lifelong education
풍물	Instruments for Korean traditional folk music
풍부하다	to be abundant
학력 평가	academic evaluation
학력	educational background
학습	learning
학제	educational system
합창 대회	Chorus contest
