초대 음식	fancy food for when guests visit
건강식	healthy food ㄱ
얼큰하다	to be heavily seasoned, peppery, spicy
밑반찬	pickled side dish
기름진 음식	oily food
후식	dessert (한)
안주	salty food for drinking 술
육류	meat (한자 있다)
달큼한 음식	sweet food ㄷㅋ
보양식	healthy food ㅂ
싱겁다	to be bland in taste, needing salt
쌈을 싸 먹다	make and eat lettuce wrap
소스를 뿌려 먹다	to be sprinkled w/sauce and eat
간장을 찍어 먹다	to dip in soy sauce and eat
단 음식	sweet food ㄷ
디저트	dessert (영)
간식	snack food
해산물	seafood
매콤한 음식	spicy food, hot food
담백한 음식	simple food, light, plain
비벼 먹다	to eat mixed food
볶아 먹다	to eat fried (stir-fried) food
