문화 체험	cultural experience
다도	tea ceremony (common term, not 다례)
전통 혼례	traditional wedding ceremony
궁궐	royal palace
다례	tea ceremony (less common than 다도)
다식을 먹다	to eat trad snack (dasik)
꿇다	to kneel (short)
시연	a demonstration, trial, performance, preview
따르다	to pour liquid 
차를 우려내다	to brew tea (끓다)
다례 체험	a tea ceremony
무릎을 꿇고 앉다	to sit on one's knees, to kneel (long)
두 손으로 차를 따르다	to pour tea with two hands
다례 시연을 보다	to watch a tea ceremony demonstration
한복 입기 체험	Hanbok wearing experience
속치마	underskirt
속바지	underpants
허리끈을 매다	to tie the belt, sash (at waist)
두루마기	Hanbok topcoat (long)
버선	trad socks
옷구름을 매다	to tie the string (at 가슴)
마고자	Hanbok jacket (짧다)
템플스테이	a temple stay
예불을 드리다	to have a Buddhist service (pray, worship, offer)
참선하다	meditation, zen meditation (not 명상)
108배를 하다	to bow 108 times, lay prostrate 108 times (while pondering (mediatiing?) 108 things)
사찰을 순례하다	a temple pilgrimage
공양을 하다	to give an offering (쌀을 ~  to give a rice offering)
명상을 하다	to meditate (not 참선)
봉헌	dedication, consecration
사물놀이 체험	percussion instrument ensemble experience (복, 징, 장구, 꽹과리)
사물놀이의 유래를 배우다	to learn the origin of 4 percussion instrument ensemble
전통 악기를 연주해 보다	to see a performance of traditional instruments
시범을 보다	to see a demonstration
전통 음악을 듣다	listen to traditional music
채를 잡다	grab/hold a stick (for drum, cymbal)
차를 올리다	to put tea up (on a table)
체험 참가 신청을 하다	apply to participate in a (cultural) experience
문화 탐방을 하다	to make/take a cultural tour/visit
시범을 보고 직접 만들어 보다	to directly watch a making demonstration
체험 행사가 진행되다	to experience a ceremony/function/event progression
체험 행사에 참가하다	to participate in an event (experience)
장단	rhythm, time (traditional music, not 박자)
도자기 체험	a ceramics experience, pottery, earthenware
나전 체험	a lacquerware inlaid w/mother-of-pearl + experience
유물 관람	to view/see relic/remains
한국화 체험	a Korean painting experience
인장 체험	a name stamp experience, a seal, signet (not 도장)
한지 공예	traditional Korean paper + craft
자수 공예	embroidery, needlework + craft
택견 체험	taekgyeon experience
장신구 만들기 체험	making personal accessory experience
탈춤 배우기	learn a mask dance
시범	a demonstration
기대	expectation
신나다	to be excited (about), elated (at/by)
