깨달음	realization, enlightenment
일상	everyday life, daily life
스치다	graze, brush
풍경	scenery, landscape
수필	essay
이왕이면	as long as possible
권하다	advise, suggest, recommend
흐뭇하다	pleased, delighted, satisfied
미소를 짓다	smile
품	bosom, breast / work, labor
온전치 못하다	incomplete
불구	disability, handicap
다리를 절다	limp, hobble
불쌍하다	pathetic
가엾다	poor, pitiful
동정하다	pity, sympathize
동병상련	sympathy between fellow sufferes
장애	disorder, defect, disability
편견	prejudice, bias
시달리다	suffer from, be pestered, be harassed
우러나다	infuse, steep, brew
교감	communion, share each other's feelings
코끝이 찡하다	be choked up
겪다	experience, undergo, suffer
나날이	day by day, every day
고통	pain, agony, torture
머릿속	head, mind
뿌듯하다	be proud
안타깝다	regrettable, pitiful, sad
서운하다	be hurt
서럽다	be sad
비참하다	miserable, dismal
질투하다	jealous, envious
좌절하다	frustrated, discouraged
원망하다	resent, blame
실의에 빠지다	fall into despair
이겨 내다	overcome, conquer, get over
