계란	egg
극장	movie theater (not 영화관
나이	age, years
늦다	late
동료	colleague
만나다	to meet
먼저	first
모두	all, everything
목요일	Thursday
보다	to see, to watch, to try
복숭아	peach
부모님	Parents
부부	couple
빨리	hurry
빵	bread
수업	lesson
시간	time, an hour
시작하다	to start
야구공	baseball ball
약속	appointment
언니	older sister (for female)
언제	when, what time, how soon
여동생	younger sister
오렌지	orange
오빠	older brother (for female)
오전	AM, morning
요일	day of the week
이렇게	like this, so much, thus
일어나다	wake up
점심	lunch
차이	difference
토마토	tomato
회사	company
데이트를 하다	to date
몇 살이에요?	How old are you?
몇 시예요?	What time is it?
약속에 늦다	late for an appointment
약속이 있어요	to have an appointment
