재테크	financial technology
재활용	recycle
쟁점	issue
적성	aptitude
전략	strategy, tactic
전망	view, forecast
제약	restriction
좌절	frustration
중독	poisoning, addiction
지름길	shortcut
지원	support
지원	application
지지	support
짐작	assumption
찌꺼기	sediment, remainder
차원	level
체험	experience
추세	trend
측면	side
칼럼	column
캠페인	campaign
클럽	club
탓	fault, blame
투기	speculation
투자	investment
틀	mold, frame, formality
틈	crack, spare time, gap, chance, among the crowd
티	speck, flaw
티	look
파견	dispatch
파괴	demolition, destruction
편견	bias
폐쇄	closing, closure
피해	damage
핑계	excuse
허용	permission, allowance
현상	phenomenon
현상	present situation
협력	collaboration
혜택	benefit
화해	reconciliation
활기	vigor
회의	skepticism
훼손	damage
흉내	imitation
흔적	trace
희생	sacrifice
