감상	appreciation
평가	appraisal
대단하다	to be immense; huge
감동적이다	to be touching; moving
지루하다	to be boring; irksome
신이 나다	to get excited
가슴이 찡하다	to feel one's heart choke up
수준이 높다	to be a high standard/level
기대만 못하다	to be unable to meet one's expectations
이해가 안 되다	to be beyond understanding
설명이 필요 없다	to have no need for explanation
불거리	spectacle; attraction
이야깃거리	subject; topic
웃음거리	laughing stock
걱정거리	worriment; anxiety
관심거리	concerns
교포	foreign-born Korean
발라드	ballad
댄스곡	dance music
근무지	one's place of work
판매	buying and selling
장기자랑	talent show
힙합	hip-hop
탭 댄스	tap dance
마술	magic
민속 공연	traditional performances
존경하다	to admire
문자	letter; message
대표하다	to represent; delegate
하이서울페스티벌	HiSeoul Festival
곳곳	here and there
진행되다	to move at a snail's pace
감상하다	to appreciate; enjoy
화려하다	feast; banquet
불꽃놀이	to be fancy
사물놀이	fireworks
연주님	traditional percussion quartet
연주팀	performance team
국립국악단	the National Center for Korean Traditional Performing Arts
비보이	B-Boy
한자리	one place; together
어우러지다	to mingle
기회를 놓치다	to miss the opportunity
신경 쓰다	to bother; show concern
보령 머드축제	Boryeong Mud Festival
하얼빈 빙등제	Harbin Ice Lantern Festival
삼바	Samba
대천	a large river
해수욕장	sea bathing area
펼쳐지다	to spread; stretch out
국내외	internal and external
관광객	tourists
몰려들다	to crowd; flock
미끄럽틀	a slide
유튜브	Youtube
체험프로그램	trial program
요트	yacht
반응	reaction
궁중음악	court music
부채춤	Korean fan dance
인상적이다	to be memorable; impressive
우아하다	to be elegant; graceful
춤동작	choreography
판소리	dramatic song storytelling
정서	emotion; feeling
연주다	musician; performer
후회하다	to regret
강강술래	traditional Korean circle dance
케이 팝	K-pop
공포 영화	horror movie
멜로 영화	melodramatic movie
재즈	jazz
은근히	quietly, inwardly
넘어가다	to be taken in; fooled
임	one's beloved
발병	occur
왠지 모르게	for some unknown reason
민요	folk song
지역	area; district
경기	economy; business
정선	careful selection
널리	far and wide
방식	way; means
신선하다	to be fresh; new
새롭다	to be new
유네스코	UNESCO
인류무형유산	Heritage of Humanity
가사	lyrics
거지	beggar
억수 장마	a long spell of heavy rain
동지섣달	the 11th and 12th months of the Lunar Calendar
