개성	individuality, personality (not 성.., 인..)
장점	a merit,strong point
단점	a weak point
호기심	curiosity (not 궁..)
겁	fear
고집	stubbornness
겸손하다	to be modest, humble, humility
착하다	to be good-hearted
못되다	to be wrong
부지런하다	to be hard working, diligent
게으르다	to be lazy, indolent, idle
불성실하다	to be insincere
명랑하다	to be cheerful
무뚝뚝하다	to be blunt, abrupt, unsociable, gruff
꼼꼼하다	to be meticulous (positive implication)
깔끔하다	to be neat, tidy (not 깨..)
까다롭다	to be particular about, fussy about, picky
원만하다	to be smooth, mild, harmonious, amicable, peaceful, affable
급하다	to be urgent
정직하다	to be honest,upright
자상하다	to be detailed, cautious and careful, considarate
예민하다	to be keen, sharp
둔하다	to be slow, dull, slow-witted
활발하다	to be lively;brisk;active;quick
씩씩하다	to be brave,valiant, manly (not 용...)
용감하다	to be brave (not 씩...)
똑똑하다	to be smart, to be clever
상냥하다	to be kind
소심하다	to be timid
내성적이다	to be introverted, reserved
외향적이다	to be extroverted
적극적이다	to be active (not 활...)
소극적이다	to be timid
이기적이다	to be selfish
성실하다	to be loyal
