가상	imagination
가입	registration
가치	value
각오	resolution
간섭	interference
갈등	conflict
감소	decline
개방	opening
격려	encouragement
경고	warning
경향	tendency
고정관념	stereotype
골치	brain
교양	refinement
구조	rescue
구조	structure
권력	authority
권리	a right
규제	restriction
극복	recovery
근거	basis, base
기념	commemoration
기부	donation
기증	donation
난리	war, uproar, fuss
납득	acceptance
노릇	role, duty
노릇	circumstances
님비현상	NIMBY (not in my backyard) syndrome
단골	regular hangout, a regular
대비	preparation
대중화	popularization
대책	countermeasure
덜미	scruff, back of body
등장	appearance (ex. in a show)
마련	arrangement
마찰	rub, friction
매너	manners
매장	store
매장	burial, social ostracism, underground
모집	recruitment
무작정	being thoughtless
바이러스	virus, computer virus
바자회	bazaar
반응	response
