결정	decide, determine, conclude
습관	a habit
사귀다	make friends, get acquainted
성향	inclination, disposition (not 성격)
가정적	a family man, family-oriented (이다)
고민	worry, concern, agonize
활동적	an active person (이다)
겁이 많다	to be scared, frightened, timid
성격이 급하다	to be impatient (2 words)
정이 많다	to be warm-hearted, kind-hearted
고독	solitude, solitary, isolation 
대표	represent, delegate, representative
과묵하다	to be reserved, quiet, of few words
배려심이 깊다	to have deep thoughts, consideration, consideration
아무리	despite, no matter, however
시간이 내다	to make time for, arrange time
바로	as soon as, right after, immediately
참다	to be patient, endure, put up with
고치다	to fix, repair, mend
매사	everything
회계	accounting (finances)
