야심	그는 정치에 대한 __이 큰 사람이다.
엄살	그까짓 감기에 걸렸다고 학교에도 안 가려고 하더니, __이 너무 심하다.
여유	출발 시간 전까지 아직 한 시간 정도 __가 있다.
예언	곧 재앙이 닥칠 것이라는 그의 __은 적중했다.
용기	그에게 사실대로 말할 __가 없다.
원칙	의견은 다수결 __에 의해 표결에 부쳐 결정하기로 했다.
의도	그 사람의 행동에는 정치적 __가 깔려 있다.
의무	그는 맡은 바 __를 다했다.
의문	그는 __ 나는 것을 선생님께 질문하였다.
의욕	그는 __만 앞서고 노력은 하지 않는다.
의지	해외로 나가겠다는 그의 __는 확고부동하다.
인상	그는 안경만 벗어도 __이 달라 보인다.
임무	나라를 지키는 일은 군인들의 당연한 __이다.
자격	참관인 __으로 회의에 참석하였다.
자랑	그는 자기 동생이 연예인이라고 __이 대단하였다.
전적	거기에 모인 사람들은 그 사람의 의견에 __으로 동의했다.
제도	신분 __가 무너지면서 신분에 대한 사회의 관념도 달라졌다.
조망	우리는 산 정상에 올라 시가지를 __하였다.
