식이요법	diet (다이어트)
신경질	irritability (성질)
신명	light-heartedness (신/흥/감흥)
신분	social status (계층)
신비	mystery (오묘/미스터리)
신앙	(religious) faith (신심/믿음)
실마리	clue (단서)
실의	dejection (실망/저상)
실전	actual battle
실천	practice/fulfillment (실행/연습/단행)
실태	actual condition (사실/실황/실정)
심리	psychology (내면/심중)
심의	deliberation (심사)
심정	one's feelings (마음씨/간장)
심혈	heart and soul (정성)
십상	be certain to
씀씀이	spending money
악취	stink (흑취)
안간힘	restraint (모질음)
안목	discernment (분별력/주안점/안식)
암시	hint (힌트/귀띔/시사)
압도	overwhelming feeling (능가/제압)
야심	ambition (패기/소망/욕심)
양해	understanding (이해/용납)
어리광(을 피우다/부리다)	acting like a baby (응석)
어원	word origin
억압	suppression (강압/구속)
억양	intonation/accent
엄살	exaggeration of pain
엉망진창	mess (엉망/난맥/뒤죽박죽)
