일반적	general
웬걸요	oh my!, why!, gee!
흔히	commonly, often
부부 중심	couple centered
핵가족	nuclear family
보편적이다	universal
가족 형태	family shape
손자	grandson
손녀	granddaughter
울타리	fence
한 울타리에 살다	live under one roof
으레	naturally, regularly, usually
분가하다	branch out
갈등	conflict, discord
사정	circumstance, situation, reason
이모네	maternal aunt
주말부부	weekend couple
기러기 가족	wild family
오히려	rather, preferably
소중하다	precious, valuable
깨닫다	realize, notice, become aware
곁	side
쓸쓸하다	lonely
비록	although, though, even
부자	father and son
부녀	father and daughter
모자	mother and son
모녀	mother and daughter
자매	sisters
남매	brother and sister
부모님을 모시다	take care of one's parents
본가	main families home
친정	wifes original home
독신 가정	single family
무자녀 가정	childless family
이혼 가정	divorced family
재혼 가정	remarried family
미혼모 가정	family of an unmarried mother
