꿈이 있다	to have a dream (1st person)
꿈을 이루다	to achieve one's dream
꿈을 가지다	to have a dream (2nd/3rd person)
꿈을 실현하다	to realize one's dream
꿈을 꾸다	to have a dream (to dream a dream)
꿈을 좇다	to chase one's dream
꿈을 키우다	to pursue one's dream
꿈을 펼치다	to follow one's dream
미래를 꿈꾸다	to dream of the future
미래를 설계하다	to shape the future
목표를 세우다	to establish a goal
목표를 정하다	to set a goal
실패하다	to fail
노력하다	to make an effort
도전하다	to defy, challenge
꾸준히 노력하다	to make a consistent effort
최선을 다하다	to do one's best
인내가 있다	to have patience
좌절하다	to be frustrated
목표를 이루다	to achieve one's goal
성과를 얻다	to get a result
극복하다	to overcome
성공을 거두다	to achieve success
성취하다	to accomplish
목표에 도달하다	to reach one's goal
절망에 빠지다	to fall into despair
안타깝다	to be regrettable
권리	right, claim
존중하다	to respect, honor
비례대표	proportional representation
선출되다	to be elected
간직하다	to keep, cherish
자기 계발	self-improvement
제빵 자격증	baking license
백만장자	millionaire
타임머신	time machine
자기암시	self-suggestion
꾸준하다	to be consistent
품다	to hatch, incubate
장담하다	to guarantee
사리	sensible, self-interest
수시	non-scheduled
생명력	vitality
꿈을 그리다	to paint a picture of one’s dream (to draw a dream)
멋지다	wonderful, cool (지)
인형	doll, puppet
실천되다	to put (smthg) to practice/action
마침내	finally, at long last (literary)
실패를 두려워하다	to be afraid of failure
국회	National Assembly
다문화가정	a multicultural family (가정)
단체	organization, society (단)
이주 여성	a female immigrant
고향을 떠나다	to leave one’s hometown
현명하다	to be wise, sagacious
꽤	quite (ᄁ)
완전히	completely
방송인	broadcaster (a person)
동시통역사	a simultaneous interpreter (translator)
우주여행을 하다	to travel into space
복권에 당첨되다	to win the lottery
불쌍하다	to be pitiful, pathetic
성과를 거두다	to bear (collect) the fruits of one’s labors
성과	result, the fruits of one’s labors
꾸준히	consistently
끈기가 없다	to lack tenacity
끈기가 있다	to have tenacity
꿈을 성취하다	to fulfill one’s dream
혼나다	to be scolded, told off
가정	supposition, hypothetical
구체적 미래를 설계하다	to have a detailed plan for the future
좌절에 빠지다	to fall into frustration
그러다가	after carrying on (like this) for awhile (*then)
학교로 데리러 갈게요.	I’ll collect you from school. (I’ll pick you up from school.)
이민자 출신	a person who has risen from being just an immigrant (?maybe)
명언	a wise saying
