주연	main character
줄거리	plot/summary
흥미롭다	interesting, fascinating
배경음악	background music
시청률	viewer rating
주인공	main character (2)
연기력	acting skill
뛰어나다	excellent
흥미진진하다	very interesting
간호하다	attend to, to nurse, care for
영상미	visual effects/beauty
주말 드라마	weekend drama
일일 드라마	daily drama
미니 시리즈	mini series
매력	charm
중독성	addictive
주제	subject, topic
염려하다	to worry (not 걱정)
드디어	finally
감독	director
개봉	movie release
조연	supporting actor
출연하다	appear, make an appearance
화제	topic (not 주제)
애타다	to worry/be anxious about
범죄자	criminal
시사회	premiere
역시	also, too, as expected
끄덕이다	to give a nod
공중파	airwaves
한산하다	to be quiet/slack
한류	Korean wave/cold current
열풍	craze/fever
방영	broadcasting
공감	sympathy
보편적	universal, ubiquitous
전쟁	war
상영하다	screening
관람 등급	rating
연속극	soap opera
시청률이 높다	high viewership
연기력이 뛰어나다	excellent/superb acting skills
인기가 많다	popular
줄거리가 흥미롭다	fascinating plot
화제가 되다	to become a topic
고개를 끄덕이다	to nod your head
배경음악이 아름답다	background music is beautiful
