단군신화	The legend of Tangun
유지하다	To maintain
환절기라	Change of the seasons
역할	Role
곤란하다	To have difficulty
실제로	Actually
무시하다	To ignore or disregard
출석률	Attendance
심각하다	To be serious or grave
그만두다	To stop
네 말도 일리가 있지만	Whilst this is right it is different to what I think
찬성하다	To support
반대하다	To oppose
칭찬하다	To praise
거절하다	To refuse
해결하다	To resolve
영업	Sales
만약	If, finally
인사	Human affairs
홍보	Promotions, Marketing
재정	Finance
소원을 빌다	To make a wish
맡다	To take charge (of smth)
마침내	Finally
참을성이 있다	To have patience
조건을 갖춰다	To come with conditions
자리를 잡다	To take your place
간절하게 원하다	To look forward to something you want
관용	Tolerance
입맛을 잃다	To lose one's appetite
입맛이 되실아나다	To regain one's appetite
입맛이 쓰다	To have a sour taste after a bad event
입맛을 다시다	To lick someone's lips
입맛을 떨어지다	To lose one's appetite 2
입맛을 살아나다	To regain one's appetite 2
뜻대로	As you like it
표정	Facial expression
장래희망	Job you want to have in the future
갈등	Conflict
고치다	To fix
얼굴이 어둡다	To have a dark face (because of mood)
얼굴이 밝다	To have a bright face (because of a good event)
얼굴이 환하다	To have a bright face (because of a good event) 2
얼굴이 두껍다	To be oblivious
얼굴을 고치다	To fix one's face (because of an event)
얼굴이 반쪽이 되다	To have a thin face (because of illness)
눈에 불을 겨다	To have wide eyes (because of surprise or anger)
철판	Sheet metal
깔다	To lay
가스불	Gas
선크림을 바르다	To apply suncream
행위	Act
쑥	Mugwort
완전히	Completely
말다툼	Argument
충전기	Charger
간절하다	To be desperate
간청하다	To entreat
감동하다	To be impressed
갖추다	To have
고통스럽다	To be painful
다스리다	To rule
동굴	Cave
뛰쳐나가다	To storm out
맡아보다	To be in charge of
명하다	To order
비로소	It wasn't until
빌다	To beg
소원	Wish
신선	Fresh
신성하다	To be sacred
신시	City of god
신하	A subject
우사	Rain God
운사	Cloud God
풍백	Wind God
잠시	Spell
제도	System
지도자	Leader
참을성	Patience
천부인	Stamp of God
허락	Permission
혼인하다	To get married
