제안	A proposal, suggestion
중단	interruption, suspension
사연	story, situation, reason
그늘	shade, shadow
기존	previous, existing
당시	at that time, at that moment
매력	charm, attraction
바탕	basis, foundation
박사	Dr., Ph.D.
아동	a child, a juvenile
연구소	research center
연수	comprehensive study
폭우	a heavy rain, a torrential rain
한눈	at a time
현황	current state of affairs, present situation
제거	remove, removal
진행자	a host, news anchor
차량	vehicles; cars; a (railway) carriage; trucks;
비결	a secret (key/method)
사용법	directions, user guide
문화재	cultural properties
기부	donation
창업	establishment
수명	life cycle, life span
농촌	countryside, farm
박람회	exhibition
체조	physical exercise, gymnastics
결심	Determination or  resolution
품목	The name of an article, a list of articles
횡단	crossing (intersection)
