코미디	comedy
로맨틱 코미디	romantic comedy
멜로 영화	melodrama
액션 영화	action movie
공포 영화	horror movie
전쟁 영화	war movie
감독	director
상영 시간	show time
관람 등급	age restriction (on films)
줄거리	plot
주연	lead role
조연	supporting role
표를 예매하다	to reserve a ticket
개봉	premiere
장르	genre
출연	appearance (make an appearance in a show)
관객 평	audience reviews
일일 연속극	daily soap opera
미니 시리즈	mini series
주말 드라마	weekend drama
시청률이 높다	to get high ratings
연기력이 뛰어나다	the performance is outstanding
배경음악이 아름답다	the background music is beautiful
인기가 많다	to be very popular
화제가 되다	to make headlines
배우가 멋있다	the actor is wonderful
줄거리가 흥미롭다	the plot is interesting
영상미가 뛰어나다	the picture quality is excellent
주인공	main character
반대하다	to do the opposite, to oppose
염려하다	to be anxious
음력	lunar calendar
대통령 선거	presidential election
범죄자	criminal
시사회	preview
관객	audience
애타게	impatiently
작품	work of art
고개를 끄덕이다	to nod one's head
한류	Hallyu 'the Korean wave'
방영하다	to air/televise (영)
대표적이다	to be a representative (이다)
한산해지다	to become dull
열풍	fad
중심 역하다	to play an important role (in some activity/show)
비롯하다	to start a thing for the first time, originate
공감하다	to sympathize
보편적이다	to be universal
담고 있다	to contain
가치가 있다	to be valuable/worthy (to be of use, to be worth doing) used like an adjective
보편적인 진리	a universal truth
본격적인 장마철이 시작됐어요.	The rainy season has officially started.
봉사하는 것은 가치가 있어요.	Volunteering is (really) worth doing.
전혀 가치가 없어요.	It's really a dead loss. (it's not worth it at all)
그렇기는 생각해요.	I agree with that. / I think the same way on that.
매력이 있다	to be attractive, have appeal
해외	abroad
국내	domestic
국제	international
중독성이 있다	to have addictive qualities
게다가	additionally
