곡	song
곳곳	everywhere, place to place
심장	the heart
허락	permission, approval, consent
촬영	shooting (a photo, a movie)
특색	speciality, special
완성	completion
의심	suspicion, doubt
입맛	taste
입원	hospitalization, admission into the hospital
장사	commerce, business
적성	aptitude
주목	attention, pay attention, take notice
진심	sincerity, a true heart, earnest
차지	occupy, take control, possession
참가비	participation fee, entry fee
불가	not allowed, not permitted, not possible
상상력	one's ability to imagine
선호	a preference or liking
공지	announcement, notification
당일	on the day, on the date mentioned
먼지	dust
소음	noise
시행	execution, operation
신제품	a new product
표시	an indication, A sign, signal
흥미	interest
최초	the first, the beginning, the outset
퇴직	retirement
이용자	user, visitor, client
